S.NO ,CROP ,DISTRICT,MONTH
1,Paddy,Ariyalur,"Aug, Oct, Nov"
2,Paddy,Coimbatore,"Apr, May, June, Dec, Jan"
3,Paddy,Cuddalore,"Aug, Dec, Jan, Apr, May, Oct, Nov"
4,Paddy,Dharmapuri,"Apr, May, June, Dec, Jan"
5,Paddy,Dindigul,"Apr, May, June, Dec, Jan, Oct, Nov"
6,Paddy,Erode,"Apr, May, June, July, Dec, Jan"
7,Paddy,Kanyakumari,"Oct, Nov, Aug, Apr, May, June"
8,Paddy,Karur,"Oct, Nov, Dec, Jan, June, July"
9,Paddy,Madurai,"Dec, Jan, Oct, Nov, Apr, May, June"
10,Paddy,Mayiladuthurai,"Oct, Nov, Aug"
11,Paddy,Nagapattinam,"Aug, Dec, Jan, June, July, Oct, Nov"
12,Paddy,Namakkal,"Dec, Jan, Apr, May"
13,Paddy,Perambalur,"June, July, Dec, Jan, Oct, Nov"
14,Paddy,Pudukkottai,"Aug, Dec, Jan, June, July"
15,Paddy,Salem,"Dec, Jan, Apr, May, June"
16,Paddy,Thanjavur,"Oct, Nov, June, July, Aug"
17,Paddy,Theni,"Oct, Nov, Apr, May, June, Dec, Jan"
18,Paddy,Thoothukudi,"Oct, Nov, Apr, May, June"
19,Paddy,Tiruchirapalli,"Dec, Jan, June, July, Oct, Nov, Aug"
20,Paddy,Tirunelveli,"Oct, Nov, Apr, May, June"
21,Paddy,Tiruvallur,"Dec, Jan, Apr, May"
22,Paddy,Tiruvannamalai,"Dec, Jan, Apr, May"
23,Paddy,Tiruvarur,"Aug, Oct, Nov, June, July"
24,Paddy,Vellore,"Dec, Jan, Apr, May"
25,Paddy,Villupuram,"Dec, Jan, Aug, Apr, May"
26,Paddy,All Districts of Tamil Nadu,"Sep, Oct"
27,Cotton,Cuddalore,"Jan, Aug, Sep, Dec"
28,Cotton,Villupuram,"Jul, Aug, Oct"
29,Cotton,Kallakurichi,"Jul, Aug, Oct"
30,Cotton,Vellore,"Aug, Sep"
31,Cotton,Ranipet,"Aug, Sep"
32,Cotton,Tirupathur,"Aug, Sep"
33,Cotton,Tiruvannamalai,"Feb, Mar"
34,Cotton,Salem,"Feb, Mar, Aug, Sep"
35,Cotton,Namakkal,"Feb, Mar, Aug, Sep, Oct"
36,Cotton,Dharmapuri,"Jul, Aug, Sep"
37,Cotton,Krishnagiri,"Feb, Mar, Aug, Sep"
38,Cotton,Coimbatore,"Aug, Sep, Oct"
39,Cotton,Tiruppur,"Aug, Sep, Oct"
40,Cotton,Erode,Oct
41,Cotton,Tiruchirapalli,"Feb, Aug, Sep"
42,Cotton,Karur,"Feb, Aug, Sep"
43,Cotton,Perambalur,"Aug, Sep"
44,Cotton,Ariyalur,"Aug, Sep"
45,Cotton,Thanjavur,"Jan, Feb"
46,Cotton,Tiruvarur,Feb
47,Cotton,Nagappattinam,"Feb, Mar"
48,Cotton,Madurai,"Feb, Mar, Aug, Sep"
49,Cotton,Theni,"Sep, Oct"
50,Cotton,Dindigul,"Jan, Feb, Sep, Oct"
51,Cotton,Ramanathapuram,"Feb, Oct"
52,Cotton,Virudhunagar,"Feb, Aug, Sep"
53,Cotton,Sivagangai,"Jan, Dec"
54,Cotton,Tirunelveli,"Feb, Mar, Sep, Oct"
55,Cotton,Tenkasi,"Feb, Mar, Sep, Oct"
56,Cotton,Thoothukudi,"Jan, Feb, Sep, Oct"
57,Sugarcane,Kancheepuram,"Jan, Dec"
58,Sugarcane,Chengalpattu,"Jan, Dec"
59,Sugarcane,Tiruvallur,"Jan, Dec"
60,Sugarcane,Cuddalore,"Jan, Dec"
61,Sugarcane,Villupuram,"Jan, Dec"
62,Sugarcane,Kallakurichi,"Jan, Dec"
63,Sugarcane,Vellore,Dec
64,Sugarcane,Ranipet,Dec
65,Sugarcane,Tirupathur,Dec
66,Sugarcane,Tiruvannamalai,"Jan, Feb"
67,Sugarcane,Salem,"Feb, Mar"
68,Sugarcane,Namakkal,"Jan, Dec"
69,Sugarcane,Dharmapuri,"Jan, Dec"
70,Sugarcane,Krishnagiri,"Feb, Mar"
71,Sugarcane,Coimbatore,"Jun, Jul"
72,Sugarcane,Tiruppur,"Jun, Jul"
73,Sugarcane,Erode,"Jan, Dec"
74,Sugarcane,Tiruchirapalli,"Jan, Feb"
75,Sugarcane,Karur,"Jan, Feb"
76,Sugarcane,Perambalur,"Jan, Feb, Dec"
77,Sugarcane,Ariyalur,"Jan, Feb, Dec"
78,Sugarcane,Pudukottai,"Jan, Feb, Dec"
79,Sugarcane,Thanjavur,"Jan, Dec"
80,Sugarcane,Tiruvarur,"Jan, Feb, Mar"
81,Sugarcane,Nagappattinam,"Apr, May"
82,Sugarcane,Madurai,"Jan, Feb, Dec"
83,Sugarcane,Theni,"Apr, May, Jun"
84,Sugarcane,Dindigul,Jan
85,Sugarcane,Virudhunagar,"Jun, Jul"
86,Sugarcane,Sivagangai,"Jan, Feb, Mar"
87,Sugarcane,Tirunelveli,"Jan, Dec"
88,Sugarcane,Tenkasi,"Jan, Dec"
89,Sugarcane,Thoothukudi,"Aug, Sep"
90,Cholam,Tiruvallur,Jul
91,Cholam,Cuddalore,"Jul, Aug"
92,Cholam,Villupuram,"Jul, Aug"
93,Cholam,Kallakurichi,"Jul, Aug"
94,Cholam,Vellore,"Jul, Aug"
95,Cholam,Ranipet,"Jul, Aug"
96,Cholam,Tirupathur,"Jul, Aug"
97,Cholam,Tiruvannamalai,"Feb, Mar, Jul, Aug"
98,Cholam,Salem,"Jun, Sep"
99,Cholam,Namakkal,"Jun, Jul"
100,Cholam,Dharmapuri,"Jul, Aug"
101,Cholam,Krishnagiri,"Jun, Sep"
102,Cholam,Coimbatore,"Jun, Jul, Sep"
103,Cholam,Tiruppur,"Jun, Jul, Sep"
104,Cholam,Erode,"Jan, Sep"
105,Cholam,Tiruchirapalli,"Jan, Jul"
106,Cholam,Karur,"Jan, Sep"
107,Cholam,Perambalur,"Mar, Sep"
108,Cholam,Ariyalur,"Mar, Jul"
109,Cholam,Pudukottai,"Feb, Mar"
110,Cholam,Mayiladuthurai,"Jan, Sep"
111,Cholam,Madurai,"Jan, Feb, Sep"
112,Cholam,Theni,"Jan, Feb, Sep"
113,Cholam,Dindigul,Feb
114,Cholam,Ramanathapuram,"Feb, Mar, Sep"
115,Cholam,Virudhunagar,"Jan, Aug"
116,Cholam,Sivagangai,Sep
117,Cholam,Tirunelveli,Sep
118,Cholam,Tenkasi,Sep
119,Cumbu,Tiruvallur,"Apr, May, Jun, Jul"
120,Cumbu,Cuddalore,"Apr, May, Jul"
121,Cumbu,Villupuram,"Apr, May, Jul"
122,Cumbu,Kallakurichi,"Apr, May, Jul"
123,Cumbu,Vellore,"Jan, Feb, Jul"
124,Cumbu,Ranipet,"Jan, Feb, Jul"
125,Cumbu,Tirupathur,"Jan, Feb, Jul"
126,Cumbu,Tiruvannamalai,"Feb, Jul"
127,Cumbu,Salem,"Feb, Apr, May"
128,Cumbu,Namakkal,"Apr, May, Jun, Jul"
129,Cumbu,Dharmapuri,"Apr, May, Jun, Jul"
130,Cumbu,Krishnagiri,"Feb, Apr, May"
131,Cumbu,Coimbatore,"Apr, May, Sep, Oct"
132,Cumbu,Tiruppur,"Apr, May, Sep, Oct"
133,Cumbu,Erode,"Apr, Aug"
134,Cumbu,Tiruchirapalli,"Apr, Aug, Sep"
135,Cumbu,Karur,"Apr, Aug, Sep"
136,Cumbu,Perambalur,"Apr, Jun, Jul"
137,Cumbu,Ariyalur,"Apr, Jun, Jul"
138,Cumbu,Pudukottai,"Jun, Jul"
139,Cumbu,Madurai,"Jan, Jun, Jul"
140,Cumbu,Theni,"May, Sep"
141,Cumbu,Dindugul,"Apr, May, Oct"
142,Cumbu,Ramanathapuram,Oct
143,Cumbu,Virudhunagar,Apr
144,Cumbu,Sivagangai,Oct
145,Cumbu,Tirunelveli,Oct
146,Cumbu,Tenkasi,Oct
147,Gingelly,Kancheepuram,"Dec, Aug"
148,Gingelly,Chengalpattu,"Dec, Aug"
149,Gingelly,Tiruvallur,"Jun, Jul, Oct"
150,Gingelly,Cuddalore,"Dec, Jan, Aug, Sep"
151,Gingelly,Villupuram,"Apr, May, Nov, Dec"
152,Gingelly,Kallakurichi,"Apr, May, Nov, Dec"
153,Gingelly,Vellore,"Dec, Jan, Jun"
154,Gingelly,Ranipet,"Dec, Jan, Jun"
155,Gingelly,Tirupathur,"Dec, Jan, Jun"
156,Gingelly,Tiruvannamalai,"Feb, Jun"
157,Gingelly,Salem,"Feb, Mar, Jun"
158,Gingelly,Namakkal,"Dec, Jan, Jun, Jul"
159,Gingelly,Dharmapuri,"Jun, Jul"
160,Gingelly,Krishnagiri,"Jun, Jul"
161,Gingelly,Coimbatore,"Mar, Sep"
162,Gingelly,Tiruppur,"Mar, Sep"
163,Gingelly,Erode,"Mar, Sep"
164,Gingelly,Tiruchirapalli,"Mar, Oct"
165,Gingelly,Karur,"Mar, Oct"
166,Gingelly,Perambalur,"Feb, Mar, Jul, Aug"
167,Gingelly,Ariyalur,"Feb, Mar, Jul, Aug"
168,Gingelly,Pudukottai,"Jan, Feb, Aug, Sep"
169,Gingelly,Thanjavur,"Jan, Feb"
170,Gingelly,Tiruvarur,"Jan, Apr"
171,Gingelly,Nagappattinam,"Jan, Feb"
172,Gingelly,Madurai,"Jun, Jul"
173,Gingelly,Theni,Nov
174,Gingelly,Dindugul,"Sep, Oct"
175,Gingelly,Ramanathapuram,Nov
176,Gingelly,Virudhunagar,"Jul, Aug"
177,Gingelly,Sivagangai,"Nov, Dec"
178,Gingelly,Tirunelveli,"Feb, Mar, Nov, Dec"
179,Gingelly,Tenkasi,"Feb, Mar, Nov, Dec"
180,Gingelly,Thoothukudi,"Oct, Nov"
181,Groundnut,Kancheepuram,"Aug, Dec"
182,Groundnut,Chengalpattu,"Aug, Dec"
183,Groundnut,Tiruvallur,"Jan, Jun, Jul, Dec"
184,Groundnut,Cuddalore,"Jun, Jul, Oct, Nov"
185,Groundnut,Villupuram,"Apr, May, Nov, Dec"
186,Groundnut,Kallakurichi,"Apr, May, Nov, Dec"
187,Groundnut,Vellore,"Jun, Jul, Nov, Dec"
188,Groundnut,Ranipet,"Jun, Jul, Nov, Dec"
189,Groundnut,Tirupathur,"Jun, Jul, Nov, Dec"
190,Groundnut,Tiruvannamalai,"Oct, Nov, Dec"
191,Groundnut,Salem,"Jun, Jul, Nov, Dec"
192,Groundnut,Namakkal,"May, Jun"
193,Groundnut,Dharmapuri,"May, Jun, Jul"
194,Groundnut,Krishnagiri,"Jun, Jul, Nov, Dec"
195,Groundnut,Coimbatore,"Apr, May, Jun, Jul"
196,Groundnut,Tiruppur,"Apr, May, Jun, Jul"
197,Groundnut,Erode,"Jun, Jul, Dec"
198,Groundnut,Tiruchirapalli,"Jun, Jul, Dec"
199,Groundnut,Karur,"Jun, Jul, Dec"
200,Groundnut,Perambalur,"Jan, Aug, Dec"
201,Groundnut,Ariyalur,"Jan, Aug, Dec"
202,Groundnut,Pudukottai,"Jan, Jun, Jul, Dec"
203,Groundnut,Thanjavur,"Jan, Dec"
204,Groundnut,Tiruvarur,"Jan, Dec"
205,Groundnut,Nagappattinam,"Jan, Dec"
206,Groundnut,Madurai,"Jan, Jun, Jul, Dec"
207,Groundnut,Theni,"Jan, Jun, Jul, Dec"
208,Groundnut,Dindugul,"Jan, Jun, Jul, Dec"
209,Groundnut,Ramanathapuram,"Feb, Oct"
210,Groundnut,Virudhunagar,"Jan, Jul, Dec"
211,Groundnut,Sivagangai,"Jun, Jul, Oct, Nov"
212,Groundnut,Tirunelveli,"Feb, Sep"
213,Groundnut,Tenkasi,"Feb, Sep"
214,Groundnut,Thoothukudi,"Jan, Nov, Dec"
215,Red Gram,Tiruvallur,"Jul, Aug"
216,Red Gram,Cuddalore,"Jul, Aug"
217,Red Gram,Villupuram,Jul
218,Red Gram,Kallakurichi,Jul
219,Red Gram,Vellore,"Jul, Aug"
220,Red Gram,Ranipet,"Jul, Aug"
221,Red Gram,Tirupathur,"Jul, Aug"
222,Red Gram,Tiruvannamalai,"Jul, Aug"
223,Red Gram,Salem,"Aug, Sep"
224,Red Gram,Namakkal,Aug
225,Red Gram,Dharmapuri,"Jul, Aug"
226,Red Gram,Krishnagiri,"Jul, Aug"
227,Red Gram,Coimbatore,"May, Jun"
228,Red Gram,Tiruppur,"May, Jun"
229,Red Gram,Erode,Aug
230,Red Gram,Tiruchirapalli,"Jun, Jul"
231,Red Gram,Karur,"Jun, Jul"
232,Red Gram,Perambalur,"Aug, Sep"
233,Red Gram,Ariyalur,"Aug, Sep"
234,Red Gram,Pudukottai,Jul
235,Red Gram,Madurai,"Jun, Jul"
236,Red Gram,Theni,"Jun, Jul"
237,Red Gram,Dindugul,"Jul, Aug"
238,Red Gram,Ramanathapuram,Oct
239,Red Gram,Virudhunagar,"Jul, Aug"
240,Red Gram,Sivagangai,Jul
241,Red Gram,Tenkasi,Oct
242,Red Gram,Thoothukudi,Oct
243,Red Gram,Kanniyakumari,"Feb, Mar"
244,Black Gram,Kancheepuram,"Oct, Nov, Dec, Jan"
245,Black Gram,Chengalpattu,"Oct, Nov, Dec, Jan"
246,Black Gram,Tiruvallur,"Jul, Aug"
247,Black Gram,Cuddalore,"Jan, Feb"
248,Black Gram,Villupuram,Mar
249,Black Gram,Kallakurichi,Mar
250,Black Gram,Vellore,"Jul, Aug"
251,Black Gram,Ranipet,"Jul, Aug"
252,Black Gram,Tirupathur,"Jul, Aug"
253,Black Gram,Tiruvannamalai,"Jul, Aug"
254,Black Gram,Salem,"Sep, Oct"
255,Black Gram,Namakkal,"Sep, Oct"
256,Black Gram,Dharmapuri,"Sep, Oct"
257,Black Gram,Krishnagiri,"Sep, Oct"
258,Black Gram,Coimbatore,"Jul, Aug"
259,Black Gram,Tiruppur,"Jul, Aug"
260,Black Gram,Erode,Jan
261,Black Gram,Tiruchirapalli,Jan
262,Black Gram,Karur,Jan
263,Black Gram,Perambalur,"Jul, Aug"
264,Black Gram,Ariyalur,"Jul, Aug"
265,Black Gram,Pudukottai,"Jun, Jul"
266,Black Gram,Thanjavur,"Jan, Feb"
267,Black Gram,Tiruvarur,Jan
268,Black Gram,Nagappattinam,"Jan, Feb"
269,Black Gram,Madurai,"Jun, Jul"
270,Black Gram,Theni,Jun
271,Black Gram,Dindugul,"Jul, Aug"
272,Black Gram,Ramanathapuram,Oct
273,Black Gram,Virudhunagar,Oct
274,Black Gram,Sivagangai,"Jul, Aug"
275,Black Gram,Tirunelveli,Feb
276,Black Gram,Tenkasi,Feb
277,Black Gram,Thoothukudi,Oct
278,Black Gram,Kanniyakumari,"Feb, Mar"
279,Green Gram,Kancheepuram,"Oct, Nov, Dec, Jan"
280,Green Gram,Chengalpattu,"Oct, Nov, Dec, Jan"
281,Green Gram,Tiruvallur,Jan
282,Green Gram,Cuddalore,"Jan, Feb"
283,Green Gram,Villupuram,"Aug, Sep"
284,Green Gram,Kallakurichi,"Aug, Sep"
285,Green Gram,Vellore,Oct
286,Green Gram,Ranipet,Oct
287,Green Gram,Tirupathur,Oct
288,Green Gram,Tiruvannamalai,Oct
289,Green Gram,Salem,"Jan, Feb"
290,Green Gram,Namakkal,"Jan, Feb"
291,Green Gram,Dharmapuri,"Jun, Jul"
292,Green Gram,Krishnagiri,"Jan, Feb"
293,Green Gram,Coimbatore,"Jun, Jul"
294,Green Gram,Tiruppur,"Jun, Jul"
295,Green Gram,Erode,Jan
296,Green Gram,Tiruchirapalli,Jan
297,Green Gram,Perambalur,"Aug, Sep"
298,Green Gram,Ariyalur,"Aug, Sep"
299,Green Gram,Pudukottai,"Jun, Jul"
300,Green Gram,Thanjavur,"Jan, Feb"
301,Green Gram,Tiruvarur,Jan
302,Green Gram,Nagappattinam,"Jan, Feb"
303,Green Gram,Madurai,"Jun, Jul"
304,Green Gram,Theni,Oct
305,Green Gram,Dindugul,"Sep, Oct"
306,Green Gram,Ramanathapuram,Oct
307,Green Gram,Virudhunagar,Oct
308,Green Gram,Sivagangai,"Jul, Aug"
309,Green Gram,Tirunelveli,"Sep, Oct"
310,Green Gram,Tenkasi,"Sep, Oct"
311,Green Gram,Thoothukudi,Oct
